Column2,Month,Year,PO#,Invoice Date,Invoice#, total Invoice Amt ,TRS,Project2, Amount ,Cost Centre,Order#,Column3,Column1,,,,,,,,,,,,
vendor 1042,Mar,2022,6101206001,2022-03-31,275930," $13,340.00 ",SDS9089258,TCF122 - Collections - Scope-1," $13,340.00 ",100012702,311107164,SKJ,24,,,,,,,,,,,,
vendor 1005,Mar,2022,6101208216,2022-03-31,21.03.64," $9,570.00 ",SDS9081277,SFA - ACE Maintenance," $9,570.00 ",250163,311107174,ZDT,25,,,,,,,,,,,,
vendor 1003,Mar,2022,6101209215,2022-03-31,3412," $23,345.00 ",SDS9090160,"Integration of PRS, PSS and Mobile App into eLicensing"," $15,610.00 ",165031,311107052,FVN,26,,,,,,,,,,,,
vendor 1003,Mar,2022,6101209215,2022-03-31,3412," $23,345.00 ",SDS9090215,Student-Aid Backend Integration - Scope-1 (Project-123)," $2,940.00 ",111173,311107266,DRLL,27,,,,,,,,,,,,
vendor 1003,Mar,2022,6101209215,2022-03-31,3412," $23,345.00 ",SDS9089920,LBIS Modernization - 0," $4,795.00 ",171225,411113089,LZG,28,,,,,,,,,,,,
vendor 1003,Mar,2022,6101206177,2022-03-31,3413," $28,250.00 ",RtQ089502,"Project Management (For the Weeks Ending September 11, 18, 25)"," $17,312.50 ",171318,941192357,TTB,29,,,,,,,,,,,,
vendor 1003,Mar,2022,6101206177,2022-03-31,3413," $28,250.00 ",SDS9090262,VAN Software and Storage - 0," $1,562.50 ",0,0,TTB,30,,,,,,,,,,,,
vendor 1003,Mar,2022,6101206177,2022-03-31,3413," $28,250.00 ",SDS9090226,0119-14-Project B - IP Telephony," $9,375.00 ",171318,941192498,TTB,31,,,,,,,,,,,,
vendor 1041,Feb,2022,6101200100,2022-03-05,2203," $16,312.50 ",SDS9090210,Network Modernization (Project-201)," $11,125.00 ",171205,411114100,TTB,32,,,,,,,,,,,,
vendor 1041,Feb,2022,6101200100,2022-03-05,2203," $16,312.50 ",SDS9089920,LBIS Modernization - 0," $5,187.50 ",171225,411113089,LZG,33,,,,,,,,,,,,
vendor 1029,Mar,2022,6101177842,2022-03-31,S37108," $15,841.25 ",SDS9089762,SKJ - R - Database SRVs," $2,612.50 ",100013000,311107191,SKJ,34,,,,,,,,,,,,
vendor 1029,Mar,2022,6101177842,2022-03-31,S37108," $15,841.25 ",SDS9090239,PRISM - Request for SRV," $4,298.75 ",930085236,311107261,SKJ,35,,,,,,,,,,,,
vendor 1029,Mar,2022,6101177842,2022-03-31,S37108," $15,841.25 ",SDS9090016,Development Tracking System Project - Scope-1 (Project-171)," $7,030.00 ",165127,311107207,FVN,36,,,,,,,,,,,,
vendor 1029,Mar,2022,6101177842,2022-03-31,S37108," $15,841.25 ",SDS9089753,Agile Process Activities," $1,900.00 ",111508,311107186,LGR,37,,,,,,,,,,,,
vendor 1003,Mar,2022,6101201288,2022-03-31,3411," $19,176.25 ",RtQ080279,Hosting SRVs Maintenance," $1,610.00 ",0,0,TTB,38,,,,,,,,,,,,
vendor 1003,Mar,2022,6101201288,2022-04-01,3411," $19,176.25 ",RtQ090054,Microsoft 365  (Project-193)," $11,413.75 ",171225,941188172,TTB,39,,,,,,,,,,,,
vendor 1003,Mar,2022,6101201288,2022-04-02,3411," $19,176.25 ",SDS9090192,MNP Incident Response," $6,152.50 ",215122,311104241,MR,40,,,,,,,,,,,,
vendor 1027,Mar,2022,6101201319,2022-03-30,9202033700," $16,747.50 ",SDS9088861,Windows 10 21H2 Upgrade," $16,747.50 ",171318,941192282,ZNT,41,,,,,,,,,,,,
vendor 1042,Mar,2022,6101209212,2022-03-31,275808," $18,397.50 ",SDS9090093,RFSO Transition Project -  Scope-1 (Project-214)," $18,397.50 ",171318,941192469,TTB,42,,,,,,,,,,,,
vendor 1038,Mar,2022,6101183022,2022-03-31,BILL002883," $17,820.00 ",SDS9090166,Intrusion Detection Management," $7,680.00 ",171205,411113680,TTB,43,,,,,,,,,,,,
vendor 1038,Mar,2022,6101183022,2022-03-31,BILL002883," $17,820.00 ",SDS9090150,Transformation  Fund ," $5,070.00 ",Invoice,311107215,ZDT,44,,,,,,,,,,,,
vendor 1038,Mar,2022,6101183022,2022-03-31,BILL002883," $17,820.00 ",SDS9090149,LAB - Microsoft Dynamics GP Upgrade," $5,070.00 ",110508,311107249,DRLL,45,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183022,2022-02-28,BILL002841," $16,050.00 ",SDS9090166,Intrusion Detection Management," $5,850.00 ",171205,411113680,TTB,46,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183022,2022-02-28,BILL002841," $16,050.00 ",SDS9090176,Treasury Management System Scope-1 (Project-172), $930.00 ,171190,941192500,TTB,47,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183022,2022-02-28,BILL002841," $16,050.00 ",SDS9090150,Transformation  Fund ," $4,230.00 ",Invoice,311107215,ZDT,48,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183022,2022-02-28,BILL002841," $16,050.00 ",SDS9090149,LAB - Microsoft Dynamics GP Upgrade," $5,040.00 ",110508,311107249,DRLL,49,,,,,,,,,,,,
vendor 1029,Mar,2022,6101200227,2022-03-31,S37110," $22,511.25 ",SDS9089468,ProjectOffice," $9,990.00 ",200040928,311107087,MV,50,,,,,,,,,,,,
vendor 1029,Mar,2022,6101200227,2022-03-31,S37110," $22,511.25 ",SDS9089109,Windows 10 Project Admin," $3,071.25 ",165239,311107147,FVN,51,,,,,,,,,,,,
vendor 1029,Mar,2022,6101200227,2022-03-31,S37110," $22,511.25 ",RtQ090054,Microsoft 365  (Project-193)," $7,897.50 ",171225,941188172,TTB,52,,,,,,,,,,,,
vendor 1029,Mar,2022,6101200227,2022-03-31,S37110," $22,511.25 ",SDS9089288,MR - Project Administrion, $135.00 ,3650600,311107274,FVN,53,,,,,,,,,,,,
vendor 1029,Mar,2022,6101200227,2022-03-31,S37110," $22,511.25 ",SDS9089063,Project-999 - Staff Absence - 10 Day Clause," $1,417.50 ",190230; IO 930086696,311107150,DRLL,54,,,,,,,,,,,,
vendor 1011,Mar,2022,6101196827,2022-03-31,749," $21,677.50 ",RtQ089502,"Project Management (For the Weeks Ending September 11, 18, 25)"," $21,677.50 ",171318,941192357,TTB,55,,,,,,,,,,,,
vendor 1042,Mar,2022,6101185835,2022-03-31,275807," $17,842.25 ",SDS9089258,TCF122 - Collections - Scope-1," $17,842.25 ",100012702,311107164,SKJ,56,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9089821,Aquarius Maintenance," $4,200.50 ",930074621,311107199,MV,57,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9090239,PRISM - Request for SRV," $2,574.50 ",930085236,311107261,SKJ,58,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9090150,Transformation  Fund ," $3,760.13 ",Invoice,311107215,ZDT,59,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9090248,LIM - I - Database SRVs," $1,761.50 ",195006,311107300,SKJ,60,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9090236,HR Management," $4,505.38 ",175243,311107267,HSLL,61,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9090124,FOUR-Envista ARM & Web Vitality Upgrade and Maintenance," $1,897.00 ",19006,311107235,SKJ,62,,,,,,,,,,,,
vendor 1023,Mar,2022,6101183661,2022-03-31,IS-219668," $22,594.63 ",SDS9090149,LAB - Microsoft Dynamics GP Upgrade," $3,895.63 ",110508,311107249,DRLL,63,,,,,,,,,,,,
vendor 1003,Mar,2022,6101178195,2022-03-31,3414," $30,192.50 ",SDS9090122,FOUR-Audit Analytics Software - Scope-1 (Project-198)," $1,040.00 ",205344; 930075523,311107049,TT,64,,,,,,,,,,,,
vendor 1003,Mar,2022,6101178195,2022-03-31,3414," $30,192.50 ",SDS9090135,INR - URPF (Urban Reserve Policy Framework), $195.00 ,930075523,311107219,TT,65,,,,,,,,,,,,
vendor 1003,Mar,2022,6101178195,2022-03-31,3414," $30,192.50 ",SDS9090226,0119-14-Project B - IP Telephony," $25,577.50 ",171318,941192498,TTB,66,,,,,,,,,,,,
vendor 1003,Mar,2022,6101178195,2022-03-31,3414," $30,192.50 ",SDS9090172,CLIB-Project-012 Technical Reconciliation," $1,365.00 ",3650600; IO 930076150,311107260,MV,67,,,,,,,,,,,,
vendor 1003,Mar,2022,6101178195,2022-03-31,3414," $30,192.50 ",SDS9090016,Development Tracking System Project - Scope-1 (Project-171)," $1,170.00 ",165127,311107207,FVN,68,,,,,,,,,,,,
vendor 1003,Mar,2022,6101178195,2022-03-31,3414," $30,192.50 ",SDS9089620,XY 2450 – Gentax Upgrade - IA, $845.00 ,165135,311107182,FVN,69,,,,,,,,,,,,
vendor 1029,Mar,2022,6101206136,2022-03-31,S37111," $22,511.25 ",SDS9088861,Windows 10 21H2 Upgrade," $22,511.25 ",171318,941192282,ZNT,70,,,,,,,,,,,,
vendor 1005,Mar,2022,6101206100,2022-03-31,21.03.36," $21,677.50 ",SDS9090155,HSAL - Rumba Upgrade on Citrix Farm - Implementation - Project-240," $7,572.50 ",165127,311107236,FVN,71,,,,,,,,,,,,
vendor 1005,Mar,2022,6101206100,2022-03-31,21.03.36," $21,677.50 ",SDS9090160,"Integration of PRS, PSS and Mobile App into eLicensing"," $6,987.50 ",165031,311107052,FVN,72,,,,,,,,,,,,
vendor 1005,Mar,2022,6101206100,2022-03-31,21.03.36," $21,677.50 ",SDS9089754,262510-Maintenance," $5,655.00 ",195276,311107187,SKJ,73,,,,,,,,,,,,
vendor 1005,Mar,2022,6101206100,2022-03-31,21.03.36," $21,677.50 ",SDS9090264,Project-249-Maximizer Upgrade UAT and PRD Environments," $1,462.50 ",Invoice,311107041,FVN,74,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9089468,ProjectOffice," $6,597.50 ",200040928,311107087,MV,75,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9089109,Windows 10 Project Admin," $3,867.50 ",165239,311107147,FVN,76,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9090144,AGR - Replace LAB, $812.50 ,171318,941189792,TTB,77,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9089288,MR - Project Administrion," $2,470.00 ",3650600,311107274,FVN,78,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9090248,LIM - I - Database SRVs," $2,535.00 ",195006,311107300,SKJ,79,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9090124,FOUR-Envista ARM & Web Vitality Upgrade and Maintenance," $1,982.50 ",19006,311107235,SKJ,80,,,,,,,,,,,,
vendor 1036,Mar,2022,6101190248,2022-03-31,3962," $21,677.50 ",SDS9089063,Project-999 - Staff Absence - 10 Day Clause," $3,412.50 ",190230; IO 930086696,311107150,DRLL,81,,,,,,,,,,,,
vendor 1027,Mar,2022,6101201276,2022-03-30,9202033699," $20,010.00 ",VPC7089572,TCF134 - Robotic Process Automation Sco," $20,010.00 ",171194,941184594,TTB,82,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201377,2022-03-31,2277," $19,814.25 ",SDS9089357,TCF132 Vital Stats Online , $258.75 ,214347,941191955,FVN,83,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201377,2022-03-31,2277," $19,814.25 ",SDS9089761,MI - HIS Replacement Project (Project-027), $287.50 ,100013025,311107192,MV,84,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201377,2022-03-31,2277," $19,814.25 ",SDS9089456,Pandemic Planning, $287.50 ,200040925,311107166,MV,85,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201377,2022-03-31,2277," $19,814.25 ",SDS9089357,TCF132 Vital Stats Online ," $5,890.50 ",214347,941191955,FVN,86,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201377,2022-03-31,2277," $19,814.25 ",SDS9089761,MI - HIS Replacement Project (Project-027)," $6,545.00 ",100013025,311107192,MV,87,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201377,2022-03-31,2277," $19,814.25 ",SDS9089456,Pandemic Planning," $6,545.00 ",200040925,311107166,MV,88,,,,,,,,,,,,
vendor 1005,Mar,2022,6101207388,2022-03-31,21.03.10," $23,345.00 ",SDS9090229,LAB GP Upgrade to 2016 - 0, $665.00 ,110508,311107301,DRLL,89,,,,,,,,,,,,
vendor 1005,Mar,2022,6101207388,2022-03-31,21.03.10," $23,345.00 ",SDS9090194,FleetNet Replacement Project," $7,105.00 ",215747,311107059,MR,90,,,,,,,,,,,,
vendor 1005,Mar,2022,6101207388,2022-03-31,21.03.10," $23,345.00 ",SDS9090190,Project B- Finance Process Documentation," $4,865.00 ",215122,311107242,MR,91,,,,,,,,,,,,
vendor 1005,Mar,2022,6101207388,2022-03-31,21.03.10," $23,345.00 ",SDS9090012,MB Phone Book Requests," $5,810.00 ",250163/IO 930090553,311107204,ZDT,92,,,,,,,,,,,,
vendor 1005,Mar,2022,6101207388,2022-03-31,21.03.10," $23,345.00 ",SDS9090211,Microsoft 365 Project - Phase 2 (Project-202)," $4,900.00 ",165155,311107058,FVN,93,,,,,,,,,,,,
vendor 1002,Jan,2022,6101201370,2022-01-31,CINV0953851," $12,180.00 ",SDS9089648,XY 2747 Website Searchable DB," $4,770.00 ",930084808,311107183,SKJ,94,,,,,,,,,,,,
vendor 1002,Jan,2022,6101201370,2022-01-31,CINV0953851," $12,180.00 ",SDS9089258,TCF122 - Collections - Scope-1," $7,410.00 ",100012702,311107164,SKJ,95,,,,,,,,,,,,
vendor 1032,Mar,2022,6101206117,2022-03-31,3601791," $22,511.25 ",RtQ086192,new," $22,511.25 ",171318,941184306,TTB,96,,,,,,,,,,,,
vendor 1023,Mar,2022,6101209251,2022-03-31,IS-219580," $14,757.38 ",SDS9089468,ProjectOffice, $265.50 ,200040928,311107087,MV,97,,,,,,,,,,,,
vendor 1023,Mar,2022,6101209251,2022-03-31,IS-219580," $14,757.38 ",SDS9089761,MI - HIS Replacement Project (Project-027), $309.75 ,100013025,311107192,MV,98,,,,,,,,,,,,
vendor 1023,Mar,2022,6101209251,2022-03-31,IS-219580," $14,757.38 ",SDS9090150,Transformation  Fund , $199.13 ,Invoice,311107215,ZDT,99,,,,,,,,,,,,
vendor 1023,Mar,2022,6101209251,2022-03-31,IS-219580," $14,757.38 ",SDS9088861,Windows 10 21H2 Upgrade, $22.13 ,171318,941192282,ZNT,100,,,,,,,,,,,,
vendor 1023,Mar,2022,6101209251,2022-03-31,IS-219580," $14,757.38 ",SDS9090149,LAB - Microsoft Dynamics GP Upgrade, $575.25 ,110508,311107249,DRLL,101,,,,,,,,,,,,
vendor 1023,Mar,2022,6101209251,2022-03-31,IS-219580," $14,757.38 ",RtQ086192,new," $13,385.63 ",171318,941184306,TTB,102,,,,,,,,,,,,
vendor 1038,Mar,2022,6101183673,2022-03-31,BILL002887," $22,197.50 ",RtQ089502,"Project Management (For the Weeks Ending September 11, 18, 25)"," $22,197.50 ",171318,941192357,TTB,103,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183673,2022-02-28,BILL002840," $17,907.50 ",RtQ089502,"Project Management (For the Weeks Ending September 11, 18, 25)"," $13,195.00 ",171318,941192357,TTB,104,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183673,2022-02-28,BILL002840," $17,907.50 ",SDS9089160,Grants Portal - 0," $1,560.00 ",215347,311107269,MR,105,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183673,2022-02-28,BILL002840," $17,907.50 ",SDS9090105,Corporater - Balanced Scorecard," $1,592.50 ",195403; IO 100013486; PO 4501231722,311107217,SKJ,106,,,,,,,,,,,,
vendor 1038,Feb,2022,6101183673,2022-02-28,BILL002840," $17,907.50 ",SDS9089878,OPSFMS Sensor Layer (Project-206)," $1,560.00 ",940005067,311107200,ZDT,107,,,,,,,,,,,,
vendor 1011,Mar,2022,6101195574,2022-03-31,759," $22,718.75 ",SDS9089019,Project-1133 - MTRR - Citrix Farm Upgrade," $2,468.75 ",250227,311107069,ZDT,108,,,,,,,,,,,,
vendor 1011,Mar,2022,6101195574,2022-03-31,759," $22,718.75 ",SDS9089821,Aquarius Maintenance," $5,281.25 ",930074621,311107199,MV,109,,,,,,,,,,,,
vendor 1011,Mar,2022,6101195574,2022-03-31,759," $22,718.75 ",SDS9089018,PNP Enhancement - D & I, $250.00 ,250227,311107069,ZDT,110,,,,,,,,,,,,
vendor 1011,Mar,2022,6101195574,2022-03-31,759," $22,718.75 ",RtQ090054,Microsoft 365  (Project-193)," $6,625.00 ",171225,941188172,TTB,111,,,,,,,,,,,,
vendor 1011,Mar,2022,6101195574,2022-03-31,759," $22,718.75 ",SDS9090121,FOUR – MDA Reduction of Manual Functions (Project-124)," $4,250.00 ",160207,311107216,FLM,112,,,,,,,,,,,,
vendor 1011,Mar,2022,6101195574,2022-03-31,759," $22,718.75 ",SDS9089822,TAX  Maintenance," $3,843.75 ",190635,311107194,ZDT,113,,,,,,,,,,,,
vendor 1042,Mar,2022,6101124142,2022-03-31,275765," $20,343.50 ",SDS9088861,Windows 10 21H2 Upgrade," $20,343.50 ",171318,941192282,ZNT,114,,,,,,,,,,,,
vendor 1030,Mar,2022,6101183668,2022-03-31,2270," $19,140.00 ",SDS9090217,Managed Tech Infra – 0," $9,570.00 ",171205,411113900,TTB,115,,,,,,,,,,,,
vendor 1030,Mar,2022,6101183668,2022-03-31,2270," $19,140.00 ",SDS9090216,Rate Increase for RFR-134," $9,570.00 ",171205,411113901,TZN - LVR,116,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201354,2022-03-31,2305," $18,509.25 ",SDS9088861,Windows 10 21H2 Upgrade," $11,516.25 ",171318,941192282,ZNT,117,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201354,2022-03-31,2305," $18,509.25 ",SDS9089762,SKJ - R - Database SRVs, $888.00 ,100013000,311107191,SKJ,118,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201354,2022-03-31,2305," $18,509.25 ",SDS9090153,Aquarius Web Portal Project (Project-006) - Scope-1," $5,994.00 ",135072,311107233,STH,119,,,,,,,,,,,,
vendor 1030,Mar,2022,6101201354,2022-03-31,2305," $18,509.25 ",SDS9089753,Agile Process Activities, $111.00 ,111508,311107186,LGR,120,,,,,,,,,,,,
vendor 1025,Mar,2022,6101209241,2022-03-31,9711097," $21,010.50 ",SOM7088834,CMS Incidents (child maintenance system), $94.50 ,171318,0,TTB,121,,,,,,,,,,,,
vendor 1025,Mar,2022,6101209241,2022-03-31,9711097," $21,010.50 ",SDS9089761,MI - HIS Replacement Project (Project-027), $126.00 ,100013025,311107192,MV,122,,,,,,,,,,,,
vendor 1025,Mar,2022,6101209241,2022-03-31,9711097," $21,010.50 ",RtQ086192,new," $20,790.00 ",171318,941184306,TTB,123,,,,,,,,,,,,
vendor 1030,Mar,2022,6101177362,2022-03-31,2288," $24,064.00 ",SDS9090093,RFSO Transition Project -  Scope-1 (Project-214)," $24,064.00 ",171318,941192469,TTB,124,,,,,,,,,,,,
vendor 1005,Mar,2022,6101180578,2022-03-31,21.03.62," $23,345.00 ",SDS9089963,Student Records Management System - Project-228," $11,515.00 ",140548,311107202,ZDT,125,,,,,,,,,,,,
vendor 1005,Mar,2022,6101180578,2022-03-31,21.03.62," $23,345.00 ",SDS9089620,XY 2450 – Gentax Upgrade - IA," $6,755.00 ",165135,311107182,FVN,126,,,,,,,,,,,,
vendor 1005,Mar,2022,6101180578,2022-03-31,21.03.62," $23,345.00 ",CON7089874,Overcharged on Aug 2021 Invoice #21964 will be recovered on Sept 2021 invoice 22163," $5,075.00 ",171318,941192402,TTB,127,,,,,,,,,,,,
vendor 1029,Mar,2022,6101188906,2022-03-31,S37109," $22,511.25 ",RtQ090261,Network SRVs - SRV Management," $6,446.25 ",171318,941192357,TTB,128,,,,,,,,,,,,
vendor 1029,Mar,2022,6101188906,2022-03-31,S37109," $22,511.25 ",SOM7089777,FOUR - IT Transformation Roadmap, $33.75 ,3650530,251113600,FVN,129,,,,,,,,,,,,
vendor 1029,Mar,2022,6101188906,2022-03-31,S37109," $22,511.25 ",SDS9089754,262510-Maintenance," $1,215.00 ",195276,311107187,SKJ,130,,,,,,,,,,,,
vendor 1029,Mar,2022,6101188906,2022-03-31,S37109," $22,511.25 ",SDS9089901,Solution Architect Resource," $3,240.00 ",171318,941192421,TTB,131,,,,,,,,,,,,
vendor 1029,Mar,2022,6101188906,2022-03-31,S37109," $22,511.25 ",SDS9088861,Windows 10 21H2 Upgrade," $11,103.75 ",171318,941192282,ZNT,132,,,,,,,,,,,,
vendor 1029,Mar,2022,6101188906,2022-03-31,S37109," $22,511.25 ",SDS9089822,TAX  Maintenance, $472.50 ,190635,311107194,ZDT,133,,,,,,,,,,,,
vendor 1036,Mar,2022,6101174431,2022-03-31,3961," $11,196.25 ",RtQ080621,PRISM Phase 1 Implementation Project - Project242," $11,196.25 ",171318,941192701,TTB,134,,,,,,,,,,,,
vendor 1041,Mar,2022,6101172574,2022-03-31,2232," $12,506.25 ",RtQ080621,PRISM Phase 1 Implementation Project - Project242," $12,506.25 ",171318,941192701,TTB,135,,,,,,,,,,,,
vendor 1023,Mar,2022,6101188897,2022-03-31,IS-219680," $19,634.81 ",SDS9090015,Database SRVs Requests," $1,560.19 ",200041071,311107205,MV,136,,,,,,,,,,,,
vendor 1023,Mar,2022,6101188897,2022-03-31,IS-219680," $19,634.81 ",SDS9089589,XY 1805 - Furgo Ivision Software - Imp," $2,973.19 ",200040921,311107181,MV,137,,,,,,,,,,,,
vendor 1023,Mar,2022,6101188897,2022-03-31,IS-219680," $19,634.81 ",SDS9090135,INR - URPF (Urban Reserve Policy Framework)," $2,649.38 ",930075523,311107219,TT,138,,,,,,,,,,,,
vendor 1023,Mar,2022,6101188897,2022-03-31,IS-219680," $19,634.81 ",SDS9090153,Aquarius Web Portal Project (Project-006) - Scope-1," $5,092.69 ",135072,311107233,STH,139,,,,,,,,,,,,
vendor 1023,Mar,2022,6101188897,2022-03-31,IS-219680," $19,634.81 ",SDS9090017,"Student Level Data Initiative - Final invoice for gates 3, 4 & 5"," $7,359.38 ",190392/IO 940005067,311107206,ZDT,140,,,,,,,,,,,,
vendor 1023,Mar,2022,6101206104,2022-03-31,275772," $20,843.75 ",SDS9090191,Student Level Data Initiative - Scope-1 001 - CR001," $3,937.50 ",215748,311107509,MR,141,,,,,,,,,,,,
vendor 1023,Mar,2022,6101206104,2022-03-31,275772," $20,843.75 ",SDS9090157,TESA - Payment Gate--# 5 - part payment as per CR002," $11,500.00 ",135150; ICT Scoping Fund,941192122,STH,142,,,,,,,,,,,,
