Vendor,Month,Year,PO#,Invoice Date,Invoice#, total Invoice Amt ,TRS,Project, Amount ,Cost Centre,Order#,Dept
vendor 1039,Jun,2021,4501200163,2021-06-30,75," $18,703.00 ",SDS7090251,PDO-247-MB Child Care Search Tool - Scoping, $590.00 ,171318,300007502,FAM
vendor 1012,Jun,2021,4501215854,2021-06-30,97," $23,925.00 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $23,925.00 ",171225,930088172,BTT
vendor 1039,Jul,2021,4501180577,2021-07-31,99," $19,745.75 ",SDS7089423,Civil Legal Billing System - Scoping, $260.00 ,171318,300007265,JUS
vendor 1039,Jul,2021,4501215694,2021-07-31,99," $19,745.75 ",SDS7089423,Civil Legal Billing System - Scoping," $4,452.50 ",171318,300007265,JUS
vendor 1012,Jun,2021,4501215860,2021-06-30,99," $38,562.50 ",CIO7080641,Enterprise Architecture," $38,562.50 ",171318,930092584,BTT
vendor 1039,Jul,2021,4501180577,2021-07-31,99," $19,745.75 ",SDS7084483,e-Licensing - D&I, $390.00 ,205697,300007169,CC
vendor 1039,Jul,2021,4501215694,2021-07-31,99," $19,745.75 ",SDS7084483,e-Licensing - D&I," $8,459.75 ",205697,300007169,CC
vendor 1039,Jul,2021,4501180577,2021-07-31,99," $19,745.75 ",SDS7089160,Grants Portal - Scoping, $292.50 ,215347,300007269,MR
vendor 1039,Jul,2021,4501215694,2021-07-31,99," $19,745.75 ",SDS7089160,Grants Portal - Scoping," $5,891.00 ",215347,300007269,MR
vendor 1039,Jul,2021,4501174431,2021-07-31,101," $6,711.25 ",CIO7080621,Procurement - Services," $6,711.25 ",171318,930092701,BTT
vendor 1012,Jun,2021,4501219218,2021-06-30,102," $7,830.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $7,830.00 ",171225,100013089,BTT
vendor 1012,Jun,2021,4501219265,2021-06-30,104," $15,240.00 ",CIO7090333,Cyber Risk Reduction Progra 2021-22," $15,240.00 ",171225,100013962,BTT
vendor 1039,Jul,2021,4501200163,2021-07-31,112," $4,277.50 ",SDS7089648,QE 2941 - Courts Modernization Implementation," $4,277.50 ",171194,300007183,JUS
vendor 1033,Jul,2021,4501222276,2021-07-31,118," $11,150.00 ",CIO7080621,Procurement - Services," $11,150.00 ",171318,930092701,BTT
vendor 1012,Jul,2021,4501215854,2021-07-31,119," $19,912.50 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $19,912.50 ",171225,930088172,BTT
vendor 1012,Jul,2021,4501215860,2021-07-31,121," $21,687.50 ",CIO7080641,Enterprise Architecture," $21,687.50 ",171318,930092584,BTT
vendor 1012,Jul,2021,4501219218,2021-07-31,124," $18,270.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $18,270.00 ",171225,100013089,BTT
vendor 1033,Jul,2021,4501222262,2021-07-31,126," $18,270.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $18,270.00 ",171225,100013089,BTT
vendor 1012,Jul,2021,4501219265,2021-07-31,126," $15,680.00 ",CIO7090333,Cyber Risk Reduction Progra 2021-22," $15,680.00 ",171225,100013962,BTT
vendor 1011,Jul,2021,4501222269,2021-07-31,131," $6,970.00 ",SDS7089941,Solution Architect Resource - Kevin Smeltz/Ryan Child," $6,970.00 ",171225,100013663,BTT
vendor 1012,Aug,2021,4501215860,2021-08-31,155," $23,750.00 ",CIO7080641,Enterprise Architecture," $23,750.00 ",171318,930092584,BTT
vendor 1011,Aug,2021,4501222269,2021-08-31,156," $16,700.00 ",SDS7089941,Solution Architect Resource - Kevin Smeltz/Ryan Child," $2,900.00 ",171225,100013663,BTT
vendor 1011,Aug,2021,4501222269,2021-08-31,156," $16,700.00 ",SDS7089941,Solution Architect Resource - Ryan Child," $13,800.00 ",171225,100013663,BTT
vendor 1012,Aug,2021,4501219239,2021-08-31,160," $38,150.00 ",SDS7090247,PDO-244 - Solution Architect Resource - Warren Abrey - Team," $38,150.00 ",165155,300007271,FIN
vendor 1012,Aug,2021,4501225169,2021-08-31,163," $5,437.50 ",CIO7080641,Enterprise Architecture," $5,437.50 ",171318,930092584,BTT
vendor 1039,Sep,2021,4501215694,2021-09-30,175," $19,865.00 ",SDS7089423,Civil Legal Billing System - Scoping," $2,020.75 ",171318,300007265,JUS
vendor 1039,Sep,2021,4501215694,2021-09-30,175," $19,865.00 ",SDS7084483,e-Licensing - D&I," $10,754.50 ",205697,300007169,CC
vendor 1039,Sep,2021,4501215694,2021-09-30,175," $19,865.00 ",SDS7089160,Grants Portal - Scoping," $7,089.75 ",215347,300007269,MR
vendor 1039,Sep,2021,4501174431,2021-09-30,176," $8,693.75 ",CIO7080621,Procurement - Services," $8,693.75 ",171318,930092701,BTT
vendor 1033,Sep,2021,4501222262,2021-09-30,179," $18,720.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $18,270.00 ",171225,100013089,BTT
vendor 1039,Sep,2021,4501200163B,2021-09-30,181," $17,110.00 ",SDS7090315,PDO-273 -  CFSA Security Upgrade - Scoping," $4,484.00 ",171293,930092089,FAM
vendor 1039,Sep,2021,4501200163B,2021-09-30,181," $17,110.00 ",SDS7090317,PDO-274 -  inFACT Security Upgrade - Scoping," $2,360.00 ",171293,930092091,FAM
vendor 1039,Sep,2021,4501200163B,2021-09-30,181," $17,110.00 ",SDS7090379,Corporater - Balanced Scorecard," $3,599.00 ",171318,0,BTT
vendor 1039,Sep,2021,4501200163B,2021-09-30,181," $17,110.00 ",SDS7090251,PDO-247-MB Child Care Search Tool - Scoping," $1,652.00 ",171318,300007502,FAM
vendor 1012,Sep,2021,4501225169,2021-09-30,181," $34,187.50 ",CIO7080641,Enterprise Architecture," $34,187.50 ",171318,930092584,BTT
vendor 1012,Sep,2021,4501219265,2021-09-30,182," $22,400.00 ",CIO7090333,Cyber Risk Reduction Progra 2021-22," $22,400.00 ",171225,100013962,BTT
vendor 1012,Sep,2021,4501215854,2021-09-30,183," $18,750.00 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $18,750.00 ",171225,930088172,BTT
vendor 1012,Sep,2021,4501219218,2021-09-30,184," $17,400.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $17,400.00 ",171225,100013089,BTT
vendor 1011,Sep,2021,4501222269,2021-09-30,187," $17,600.00 ",SDS7089941,Solution Architect Resource - Kevin Smeltz," $1,900.00 ",171225,100013663,BTT
vendor 1011,Sep,2021,4501222269,2021-09-30,187," $17,600.00 ",SDS7089941,Solution Architect Resource - Ryan Child," $15,700.00 ",171225,100013663,BTT
vendor 1011,Nov,2021,4501222269,2021-09-30,189," $49,500.00 ",SDS7090268,Solution Architect Resource - Warren Abrey - Team," $49,500.00 ",171297,930092084,CC
vendor 1033,Sep,2021,4501219242,2021-09-30,189," $16,835.00 ",CIO7089502,Project Delivery Process," $16,835.00 ",171318,930092357,BTT
vendor 1012,Sep,2021,4501219239,2021-09-30,192," $28,900.00 ",SDS7090247,PDO-244 - Solution Architect Resource - Warren Abrey," $28,900.00 ",165155,300007271,FIN
vendor 1033,Sep,2021,4501222276,2021-09-30,204," $14,025.00 ",CIO7080621,Procurement - Services," $14,025.00 ",171318,930092701,BTT
vendor 1012,Oct,2021,4501225169,2021-10-31,211," $34,250.00 ",CIO7080641,Enterprise Architecture," $34,250.00 ",171318,930092584,BTT
vendor 1012,Oct,2021,4501219265,2021-10-31,212," $21,240.00 ",CIO7090333,Cyber Risk Reduction Progra 2021-22," $21,240.00 ",171225,100013962,BTT
vendor 1012,Oct,2021,4501215854,2021-10-31,213," $17,850.00 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $14,587.50 ",171225,930088172,BTT
vendor 1012,Oct,2021,4501219218,2021-10-31,214," $17,400.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $17,400.00 ",171225,100013089,BTT
vendor 1039,Oct,2021,4501215694,2021-10-31,215," $21,646.00 ",SDS7089423,Civil Legal Billing System - Scoping," $2,774.25 ",171318,300007265,JUS
vendor 1039,Oct,2021,4501215694,2021-10-31,215," $21,646.00 ",SDS7084483,e-Licensing - D&I," $8,562.50 ",205697,300007169,CC
vendor 1039,Oct,2021,4501215694,2021-10-31,215," $21,646.00 ",SDS7089160,Grants Portal - Scoping," $10,309.25 ",215347,300007269,MR
vendor 1011,Oct,2021,4501222269,2021-10-31,216," $19,350.00 ",SDS7089941,Solution Architect Resource - Kevin Smeltz," $2,000.00 ",171225,100013663,BTT
vendor 1011,Oct,2021,4501222269,2021-10-31,216," $19,350.00 ",SDS7089941,Solution Architect Resource - Ryan Child," $17,350.00 ",171225,100013663,BTT
vendor 1039,Oct,2021,4501174431,2021-10-31,216," $9,230.00 ",CIO7080621,Procurement - Services," $9,230.00 ",171318,930092701,BTT
vendor 1011,Nov,2021,4501222269,2021-10-31,218," $36,950.00 ",SDS7090268,Solution Architect Resource - Warren Abrey - Team," $36,950.00 ",171297,930092084,CC
vendor 1012,Oct,2021,4501219239,2021-10-31,219," $26,500.00 ",SDS7090247,PDO-244 - Solution Architect Resource - Warren Abrey," $26,500.00 ",165155,300007271,FIN
vendor 1033,Oct,2021,4501222262,2021-10-31,219," $18,270.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $18,270.00 ",171225,100013089,BTT
vendor 1039,Oct,2021,4501200163B,2021-10-31,221," $17,110.00 ",SDS7090315,PDO-273 -  CFSA Security Upgrade - Scoping," $4,425.00 ",171293,930092089,FAM
vendor 1039,Oct,2021,4501200163B,2021-10-31,221," $17,110.00 ",SDS7090317,PDO-274 -  inFACT Security Upgrade - Scoping," $1,239.00 ",171293,930092091,FAM
vendor 1039,Oct,2021,4501200163B,2021-10-31,221," $17,110.00 ",SDS7090379,Corporater - Balanced Scorecard," $1,740.50 ",171318,0,BTT
vendor 1039,Oct,2021,4501200163B,2021-10-31,221," $17,110.00 ",SDS7090251,PDO-247-MB Child Care Search Tool - Scoping," $2,979.50 ",171318,300007502,FAM
vendor 1033,Oct,2021,4501219242,2021-10-31,230," $20,300.00 ",CIO7089502,Project Delivery Process," $20,300.00 ",171318,930092357,BTT
vendor 1033,Oct,2021,4501222276,2021-10-31,237," $13,050.00 ",CIO7080621,Procurement - Services," $13,050.00 ",171318,930092701,BTT
vendor 1012,Nov,2021,4501225169,2021-11-30,244," $31,875.00 ",CIO7080641,Enterprise Architecture," $31,875.00 ",171318,930092584,BTT
vendor 1012,Nov,2021,4501219265,2021-11-30,245," $24,320.00 ",CIO7090333,Cyber Risk Reduction Progra 2021-22," $24,320.00 ",171225,100013962,BTT
vendor 1012,Oct,2021,4501234343,2021-11-30,246," $21,750.00 ",CIO7090054,Microsoft 365 Project - Phase 2 (PDO-202)," $3,262.50 ",171225,930088172,BTT
vendor 1012,Nov,2021,4501234343,2021-11-30,246," $21,750.00 ",CIO7080641,Enterprise Architecture," $21,750.00 ",171318,930092584,BTT
vendor 1012,Nov,2021,4501219218,2021-11-30,247," $18,270.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $18,270.00 ",171225,100013089,BTT
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090157,MIRA Vitality Replacement - PDO-125, $551.25 ,135150,930092122,SCH
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090343,PDO-288 - Server Analysis for Francophone Affairs - Scoping, $551.25 ,161017,161017,FAM
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090311,PDO-266 - Decision Support System for Animal Emergencies - Scoping, $525.00 ,171293,930092081,ARD
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090310,PDO-265 - Fishery Management System - Scoping, $577.50 ,171293,930092082,ARD
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090312,PDO-269 - Customer Relationship Case Management Platform - Scoping, $525.00 ,171293,930092085,CEN
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090313,PDO-268 -  Software Asset Management Solution - Scoping, $446.25 ,171293,930092086,CEN
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090315,PDO-273 -  CFSA Security Upgrade - Scoping, $498.75 ,171293,930092089,FAM
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090317,PDO-274 -  inFACT Security Upgrade - Scoping, $577.50 ,171293,930092091,FAM
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090314,PDO-272 - SAMIN Business Intelligence Application - Scoping, $498.75 ,171293,930092092,FAM
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090319,PDO-275 - PGT SOA Accounting System Replacement - Scoping, $472.50 ,171293,930092093,FIN
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090321,PDO-276 - PGT Trust Accounting System Replacement, $472.50 ,171293,930092094,FIN
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090322,PDO-278 - Chief Medical Examiner System Upgrade Replace - Scoping, $446.25 ,171293,930092095,JUS
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090320,PDO-277 - LES Replacement and Online Portal - Scoping, $551.25 ,171293,930092096,JUS
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090325,PDO-279 - Staff Scheduling - Scoping, $577.50 ,171293,930092097,JUS
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090324,PDO-282 - Boilers and Elevators: Project Reset - Scoping, $551.25 ,171293,930092099,MR
vendor 1012,Nov,2021,4501235206,2021-11-30,248," $8,925.00 ",SDS7090248,M3P Vitality Upgrade - Implementation Phase - PDO-245, $551.25 ,195006,300007300,JUS
vendor 1012,Nov,2021,4501235945,2021-11-30,254," $26,060.00 ",SDS7090316,PDO-271 -  IT Transformation Plan - Scoping (Michael Bashir)," $2,000.00 ",171297,930092088,EDT
vendor 1012,Nov,2021,4501235945,2021-11-30,254," $26,060.00 ",SDS7090316,PDO-271 -  IT Transformation Plan - Scoping (Jordi van Marion)," $2,365.00 ",171297,930092088,EDT
vendor 1012,Nov,2021,4501235945,2021-11-30,254," $26,060.00 ",SDS7090316,PDO-271 -  IT Transformation Plan - Scoping (Ryan Childe)," $2,585.00 ",171297,930092088,EDT
vendor 1012,Nov,2021,4501235945,2021-11-30,254," $26,060.00 ",SDS7090316,PDO-271 -  IT Transformation Plan - Scoping (Kevin Smeltz)," $4,350.00 ",171297,930092088,EDT
vendor 1012,Nov,2021,4501235945,2021-11-30,254," $26,060.00 ",SDS7090316,PDO-271 -  IT Transformation Plan - Scoping (Steve Farrelly)," $5,360.00 ",171297,930092088,EDT
vendor 1012,Nov,2021,4501235945,2021-11-30,254," $26,060.00 ",SDS7090316,PDO-271 -  IT Transformation Plan - Scoping (Warren Abrey)," $9,400.00 ",171297,930092088,EDT
vendor 1012,Nov,2021,4501235947,2021-11-30,255," $31,670.00 ",SDS7090247,IT Transformation Roadmap-PDO-244 (Jordi van Marion)," $8,607.50 ",165155,300007271,FIN
vendor 1012,Nov,2021,4501235947,2021-11-30,255," $31,670.00 ",SDS7090247,IT Transformation Roadmap-PDO-244 (Michael Bashir)," $10,500.00 ",165155,300007271,FIN
vendor 1012,Nov,2021,4501235947,2021-11-30,255," $31,670.00 ",SDS7090247,IT Transformation Roadmap-PDO-244 (Milan Zivkovic)," $12,562.50 ",165155,300007271,FIN
vendor 1012,Nov,2021,4501235255,2021-11-30,256," $20,942.50 ",SDS7090355,PDO-293 - Provincial Student Information System - Scoping (Ryan Childe)," $8,442.50 ",140010,300007403,EDU
vendor 1012,Nov,2021,4501235255,2021-11-30,256," $20,942.50 ",SDS7090355,PDO-293 - Provincial Student Information System - Scoping (Warren Abrey)," $12,500.00 ",140010,300007403,EDU
vendor 1012,Nov,2021,4501235946,2021-11-30,257," $19,175.00 ",SDS7090392,PDO-291 - Completion Families IT Roadmap - Scoping (Kevin Smeltz)," $2,700.00 ",171297,930092090,FAM
vendor 1012,Nov,2021,4501235946,2021-11-30,257," $19,175.00 ",SDS7090392,PDO-291 - Completion Families IT Roadmap - Scoping (Ryan Childe)," $6,875.00 ",171297,930092090,FAM
vendor 1012,Nov,2021,4501235946,2021-11-30,257," $19,175.00 ",SDS7090392,PDO-291 - Completion Families IT Roadmap - Scoping (Warren Abrey)," $9,600.00 ",171297,930092090,FAM
vendor 1039,Nov,2021,4501215694,2021-11-30,259," $21,817.25 ",SDS7089423,Civil Legal Billing System - Scoping," $5,171.75 ",171318,300007265,JUS
vendor 1039,Nov,2021,4501215694,2021-11-30,259," $21,817.25 ",SDS7090401,PMO-311 - Box.com - Scoping, $650.75 ,171318,930092877,BTT
vendor 1039,Nov,2021,4501215694,2021-11-30,259," $21,817.25 ",SDS7084483,e-Licensing - D&I," $7,946.00 ",205697,300007169,CC
vendor 1039,Nov,2021,4501215694,2021-11-30,259," $21,817.25 ",SDS7089160,Grants Portal - Scoping," $7,226.75 ",215347,300007269,MR
vendor 1039,Nov,2021,4501174431,2021-11-30,260," $9,343.75 ",CIO7080621,Procurement - Services," $9,343.75 ",171318,930092701,BTT
vendor 1033,Nov,2021,4501222262,2021-11-30,263," $19,183.50 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $19,183.50 ",171225,100013089,BTT
vendor 1039,Nov,2021,4501200163B,2021-11-30,265," $17,198.50 ",SDS7090315,PDO-273 -  CFSA Security Upgrade - Scoping, $708.00 ,171293,930092089,FAM
vendor 1039,Nov,2021,4501234342,2021-11-30,265," $17,198.50 ",SDS7090315,PDO-273 -  CFSA Security Upgrade - Scoping," $2,330.50 ",171293,930092089,FAM
vendor 1039,Nov,2021,4501200163B,2021-11-30,265," $17,198.50 ",SDS7090317,PDO-274 -  inFACT Security Upgrade - Scoping, $914.50 ,171293,930092091,FAM
vendor 1039,Nov,2021,4501234342,2021-11-30,265," $17,198.50 ",SDS7090317,PDO-274 -  inFACT Security Upgrade - Scoping," $2,360.00 ",171293,930092091,FAM
vendor 1039,Nov,2021,4501200163B,2021-11-30,265," $17,198.50 ",SDS7090379,Corporater - Balanced Scorecard, $236.00 ,171318,0,BTT
vendor 1039,Nov,2021,4501234342,2021-11-30,265," $17,198.50 ",SDS7090379,Corporater - Balanced Scorecard, $590.00 ,171318,0,BTT
vendor 1039,Nov,2021,4501200163B,2021-11-30,265," $17,198.50 ",SDS7090251,PDO-247-MB Child Care Search Tool - Scoping, $442.50 ,171318,300007502,FAM
vendor 1039,Nov,2021,4501234342,2021-11-30,265," $17,198.50 ",SDS7090251,PDO-247-MB Child Care Search Tool - Scoping," $1,888.00 ",171318,300007502,FAM
vendor 1039,Nov,2021,4501200163B,2021-11-30,265," $17,198.50 ",SDS7090194,Flexible Data Management Application Assessment Report-PDO-230, $-   ,215747,300007059,MR
vendor 1039,Nov,2021,4501234342,2021-11-30,265," $17,198.50 ",SDS7090194,Flexible Data Management Application Assessment Report-PDO-230," $1,622.50 ",215747,300007059,MR
vendor 1033,Nov,2021,4501219242,2021-11-30,275," $20,790.00 ",CIO7089502,Project Delivery Process," $20,790.00 ",171318,930092357,BTT
vendor 1012,Dec,2021,4501225169,2021-12-31,281," $27,625.00 ",CIO7080641,Enterprise Architecture," $27,625.00 ",171318,930092584,BTT
vendor 1012,Dec,2021,4501219265,2021-12-31,282," $5,800.00 ",CIO7090333,Cyber Risk Reduction Progra 2021-22," $5,800.00 ",171225,100013962,BTT
vendor 1012,Dec,2021,4501234343,2021-12-31,283," $21,112.50 ",CIO7080641,Enterprise Architecture," $21,112.50 ",171318,930092584,BTT
vendor 1033,Nov,2021,4501222276,2021-11-30,283," $13,775.00 ",CIO7080621,Procurement - Services," $13,775.00 ",171318,930092701,BTT
vendor 1012,Dec,2021,4501219218,2021-12-31,284," $17,400.00 ",SDS7090297,PDO-261 - LEG Service Harmonization - Scoping," $17,400.00 ",171225,100013089,BTT
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090157,MIRA Vitality Replacement - PDO-125, $708.75 ,135150,930092122,SCH
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090343,PDO-288 - Server Analysis for Francophone Affairs - Scoping, $472.50 ,161017,161017,FAM
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090311,PDO-266 - Decision Support System for Animal Emergencies - Scoping, $708.75 ,171293,930092081,ARD
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090310,PDO-265 - Fishery Management System - Scoping, $708.75 ,171293,930092082,ARD
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090312,PDO-269 - Customer Relationship Case Management Platform - Scoping, $577.50 ,171293,930092085,CEN
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090315,PDO-273 -  CFSA Security Upgrade - Scoping, $630.00 ,171293,930092089,FAM
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090317,PDO-274 -  inFACT Security Upgrade - Scoping, $708.75 ,171293,930092091,FAM
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090314,PDO-272 - SAMIN Business Intelligence Application - Scoping, $603.75 ,171293,930092092,FAM
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090319,PDO-275 - PGT SOA Accounting System Replacement - Scoping, $708.75 ,171293,930092093,FIN
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090322,PDO-278 - Chief Medical Examiner System Upgrade Replace - Scoping, $761.25 ,171293,930092095,JUS
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090320,PDO-277 - LES Replacement and Online Portal - Scoping, $708.75 ,171293,930092096,JUS
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090325,PDO-279 - Staff Scheduling - Scoping, $630.00 ,171293,930092097,JUS
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090324,PDO-282 - Boilers and Elevators: Project Reset - Scoping, $551.25 ,171293,930092099,MR
vendor 1012,Dec,2021,4501235206,2021-12-31,285," $9,896.25 ",SDS7090248,M3P Vitality Upgrade - Implementation Phase - PDO-245, $708.75 ,195006,300007300,JUS
vendor 1011,Dec,2021,4501195574,2021-12-31,286," $11,781.25 ",SDS7090239,PRISM Phase 1 Implementation Project - PDO242, $156.25 ,171194,300007261,JUS
vendor 1011,Dec,2021,4501236715,2021-12-31,286," $11,781.25 ",SDS7090239,PRISM Phase 1 Implementation Project - PDO242," $2,812.50 ",171194,300007261,JUS
vendor 1011,Dec,2021,4501195574,2021-12-31,286," $11,781.25 ",SDS7090385,PDO-305 - Project and Portfolio Management - Scoping - ERP Modernization, $250.00 ,171225,100014214,CEN
vendor 1011,Dec,2021,4501236715,2021-12-31,286," $11,781.25 ",SDS7090385,PDO-305 - Project and Portfolio Management - Scoping - ERP Modernization," $2,937.50 ",171225,100014214,CEN
vendor 1011,Dec,2021,4501195574,2021-12-31,286," $11,781.25 ",SDS7090322,PDO-278 - Chief Medical Examiner System Upgrade Replace - Scoping, $250.00 ,171293,930092095,JUS
